"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Lesotho"	0.19981469	5.2941732	3.5148625	0.532109	0.09179024	0.51206875	"2000-2009"	"Africa"
"Lesotho"	0.20374614	5.472557	3.5993671	0.532177	0.107039794	0.44877714	"2010-2019"	"Africa"
"Madagascar"	0.212259823333333	4.8242162	3.82913136666667	0.597444353333333	0.08526028	0.41074565	"1990-1999"	"Africa"
"Madagascar"	0.212743205	4.7729368	3.84707095	0.597428365	0.0836013875	0.436727135	"2000-2009"	"Africa"
"Madagascar"	0.21179112	4.73051635	3.8811485	0.59739738	0.082832623	0.42465719	"2010-2019"	"Africa"
"Malawi"	0.19952556	4.2759886	3.7128522	0.5774111	0.07327617	0.6575494	"1990-1999"	"Africa"
"Malawi"	0.2013665	4.1923923	3.7265174	0.57743	0.073578745	0.3987172	"2000-2009"	"Africa"
"Malawi"	0.201319046666667	4.08073783333333	3.81365196666667	0.577401253333333	0.0777980433333333	0.429023673333333	"2010-2019"	"Africa"
"Mali"	0.2088623	3.5966322	2.6295738	0.5418625	0.08002693	0.50157577	"1990-1999"	"Africa"
"Mali"	0.20934708	3.45978283333333	2.64017666666667	0.541980773333333	0.0851396933333333	0.3727681	"2000-2009"	"Africa"
"Mali"	0.21078324	3.5153913	2.7274408	0.54196745	0.0925209	0.3596336	"2010-2019"	"Africa"
"Mauritania"	0.21912071	3.73015	2.72335805	0.55606873	0.101852995	0.43635623	"1990-1999"	"Africa"
"Mauritania"	0.21834703	3.60592373333333	2.72383003333333	0.55612405	0.102027475	0.38294202	"2000-2009"	"Africa"
"Mauritania"	0.21963997	3.63761675	2.73926285	0.5560906	0.112040915	0.32308046	"2010-2019"	"Africa"
"Morocco"	0.241418315	5.17919755	4.6512908	0.746194035	0.153251715	0.392804085	"1990-1999"	"Africa"
"Morocco"	0.24167174	5.14516095	4.68396805	0.74651676	0.15991457	0.40677625	"2000-2009"	"Africa"
"Morocco"	0.24155061	5.105123	4.735348	0.7457065	0.17622747	0.39548507	"2010-2019"	"Africa"
"Mozambique"	0.19563685	4.8678203	3.9554532	0.57851636	0.0614907	0.53288776	"1990-1999"	"Africa"
"Mozambique"	0.1999528	4.934162	3.95717025	0.578539735	0.07046449	0.46221918	"2000-2009"	"Africa"
"Mozambique"	0.203357985	4.977567	4.02147725	0.578557135	0.081881085	0.52115175	"2010-2019"	"Africa"
"Namibia"	0.21730801	3.6962173	3.417966	0.5531718	0.13528977	0.7105055	"1990-1999"	"Africa"
"Namibia"	0.218630915	3.60527675	3.44013395	0.553148075	0.14092911	0.6214096	"2000-2009"	"Africa"
"Namibia"	0.22074962	3.5992053	3.518553	0.5531902	0.15585217	0.5906661	"2010-2019"	"Africa"
"Niger"	0.20808944	4.14690415	2.81203175	0.54287268	0.0766534375	0.3872973	"1990-1999"	"Africa"
"Niger"	0.20652913	4.1847403	2.8349885	0.54285003	0.072773268	0.40836437	"2000-2009"	"Africa"
"Niger"	0.206337923333333	4.1979055	2.92615186666667	0.542849976666667	0.0758493733333333	0.343292376666667	"2010-2019"	"Africa"
"Nigeria"	0.218848785	4.2255997	2.9461417	0.5545014	0.098066605	0.483826445	"1990-1999"	"Africa"
"Nigeria"	0.21869706	4.6796846	2.8332915	0.5546492	0.09842771	0.40058756	"2000-2009"	"Africa"
