"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"pop"
"Armenia"	2014	811013.0202102	8518547.536401	9108787.70658	1565661.3080892	348127.97588025	0.3148329	2889930
"Armenia"	2015	808526.4644911	8504087.551593	9072283.63142	1559362.546012	351079.4912495	0.32356772	2878595
"Armenia"	2016	806408.1972947	8471325.150785	9026721.9677005	1552276.661915	353057.502879725	0.32547948	2865835
"Armenia"	2017	803972.95039188	8427695.4123006	8977745.230926	1544565.07774329	354243.97229136	0.3362184	2851923
"Armenia"	2018	800578.35962415	8410811.8827474	8930605.5635391	1536070.7842605	355222.14657228	0.344335	2836557
"Armenia"	2019	797159.15777244	8415693.6702632	8886581.8917552	1527257.26193	355402.36759062	0.30031213	2820602
"Australia"	1995	6992387.13654684	81304609.637636	96805689.5349992	20100887.9292424	13248908.6240938	0.3257863	18004882
"Australia"	2001	7487850.30050575	88383370.44746	100525121.397792	21541866.5029539	15771524.09325	0.33462042	19274701
"Australia"	2003	7663452.7612419	93276613.0295802	106885098.887579	22129141.8664935	17608061.7418627	0.3349686	19720737
"Australia"	2004	7746794.6004062	95494342.337426	109899351.771469	22408035.1892148	18496362.0795912	0.3305577	19932722
"Australia"	2008	8256446.81879068	101026994.108049	118890621.978976	23906880.9422479	20795519.2517024	0.3542851	21249199
"Australia"	2010	8559207.531485	103338374.542975	123711052.2505	24786758.6486	21872308.428425	0.34656727	22031750
"Australia"	2014	9121939.79680048	107163924.26454	130169744.40925	26410480.1047412	23765570.8134338	0.34398198	23475686
"Australia"	2016	9398790.28535525	107412334.630502	137343632.58343	27215254.19314	24687456.8143541	0.33685225	24190907
"Australia"	2018	9698669.33009466	108847009.276259	145304926.441039	28084688.743578	25672531.5605766	0.34332561	24963258
"Austria"	1994	2184040.78367388	28353679.0808138	46050753.19624	7155632.539172	3503216.91910836	0.3082802	7936118
"Austria"	1995	2186779.9200975	28246983.796161	46154184.6835368	7166351.0500218	3556458.02437614	0.29914328	7948278
"Austria"	1996	2189664.30236631	28088092.0799402	46179150.2266941	7176145.32509138	3610534.99827394	0.29317808	7959017
"Austria"	1997	2192513.2528994	27831256.4680846	46138766.113598	7184530.54056317	3665325.1545353	0.29065368	7968041
"Austria"	1998	2195471.73797828	27524553.3736934	46077660.8174997	7192755.1952634	3720644.0050682	0.31340772	7976789
"Austria"	1999	2200242.20003208	27242387.0251236	46070739.0705492	7206984.6568092	3779746.33026744	0.2967054	7992324
"Austria"	2000	2205707.25756942	27023129.8880202	46137705.6905118	7224466.4937036	3834221.7233628	0.28964692	8011566
"Austria"	2003	2236824.2505021	26606531.3553429	47028770.4582111	7324082.8055598	4065539.6859735	0.29465577	8121423
"Austria"	2004	2251149.4523452	26517576.9430836	47444012.4252776	7369648.0984962	4149064.0399472	0.29788825	8171966
"Austria"	2005	2266735.04780177	26475480.1815814	47857039.8471505	7419881.6984699	4231529.17631946	0.28715184	8227829
"Austria"	2006	2278229.87985932	26369404.7715337	48209252.964452	7456736.19455156	4312737.1011775	0.29587558	8268641
"Austria"	2007	2286132.77247711	26185014.1371651	48551291.2546885	7481164.16865928	4400319.17906432	0.30579385	8295487
