"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"pop"
"Albania"	1996	888557.98403592	7609391.6028702	11682303.8493975	1716779.258931	313351.50628419	0.27010342	3168033
"Albania"	2002	860029.072234	7510134.949442	11328932.836346	1655420.4839514	322611.8447536	0.3173898	3051010
"Albania"	2005	849980.31037635	7445881.1293884	11202014.3037966	1633967.61739158	339027.81589827	0.30595654	3011487
"Albania"	2008	837188.55004704	7234032.4894488	11022506.368272	1598799.5103429	350803.37096778	0.2998467	2947314
"Albania"	2012	829509.1752381	7079031.923908	10968313.3332941	1572863.0989316	366226.06422339	0.28960484	2900401
"Albania"	2014	828454.0389248	7055890.2644368	11011422.0663792	1566620.977656	374668.91634672	0.34598896	2889104
"Albania"	2015	826705.35683526	7035350.2343614	10999069.6591482	1561922.75516382	377983.34936957	0.32753733	2880703
"Albania"	2016	825830.81372954	7022302.582105	10972866.5972082	1559266.652746	382086.5665288	0.33736297	2876101
"Albania"	2017	825392.07528642	7021527.2282826	10951777.9221372	1557707.76358938	385165.76220648	0.33055663	2873457
"Albania"	2018	823675.2146952	7020977.9066392	10947227.1028624	1553739.4620696	388338.28297808	0.30148283	2866376
"Albania"	2019	820581.6250146	7021889.8316112	10953064.4238243	1546996.0680426	390020.6334444	0.30115768	2854191
"Algeria"	1995	7088737.27547076	119409286.020726	131867611.869901	21538818.2615677	5295179.2043613	0.35330054	28478022
"Algeria"	2011	9075605.58281427	148040501.108536	170661296.496821	27640429.7011556	7362845.62881445	0.27615732	36543541
"Angola"	2000	3466680.64531086	96827592.62812	65202355.1855908	9078964.3199458	1676676.78843204	0.5194472	16394062
"Angola"	2008	4668415.52606568	125323258.583397	86402379.7431694	12014561.8092825	2522736.48122515	0.42715514	21691522
"Angola"	2018	6879635.28967311	179924785.2317	123677828.746909	17322400.5466401	4263598.9377225	0.51263994	31273533
"Armenia"	1999	879000.7076124	9057501.868571	10076063.370425	1737503.149455	285886.4720847	0.36219725	3206030
"Armenia"	2001	859593.837348	8910478.2950495	9865624.856065	1698172.09110451	281251.091532558	0.3536436	3133133
"Armenia"	2002	854118.86008462	8863496.4095054	9789378.0774244	1682978.1820735	284195.18725455	0.34779674	3105037
"Armenia"	2003	851155.4045232	8837173.534392	9736493.3598492	1671668.7136254	290306.22827031	0.33028087	3084102
"Armenia"	2004	848751.28864785	8813492.632605	9688572.4473405	1661730.9741165	298521.8302383	0.37505633	3065745
"Armenia"	2005	845470.2869594	8785099.6029702	9633597.9382798	1651693.4166995	304950.46187352	0.35992354	3047246
"Armenia"	2006	841050.9259691	8738351.842398	9564545.2946202	1640410.9480181	310895.65329056	0.29709986	3026486
"Armenia"	2007	836399.12627565	8678505.8435222	9487126.8027788	1628386.7143467	317331.006922048	0.31226057	3004393
"Armenia"	2008	832010.39213537	8628757.619356	9412201.5872192	1616979.12680325	324651.290685344	0.2918814	2983421
