"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"
"Austria"	2012	0.27541992	3.0992143	5.931905	0.9018285	0.5582181	0.30475533
"Austria"	2013	0.2752243	3.1081657	5.9454136	0.90168726	0.56103206	0.30752888
"Austria"	2014	0.27508944	3.1144185	5.9566393	0.901455	0.5628904	0.3053535
"Austria"	2015	0.2750848	3.117166	5.963028	0.9011552	0.5627958	0.30530685
"Austria"	2016	0.27593783	3.1172068	5.983274	0.90091336	0.5598134	0.3079501
"Austria"	2017	0.27685928	3.1176713	6.0037413	0.9007627	0.55712646	0.2973688
"Austria"	2018	0.27697054	3.120435	6.007505	0.90060717	0.55835485	0.30847305
"Austria"	2019	0.27674544	3.125201	6.0064344	0.90043485	0.5622296	0.3021043
"Azerbaijan"	1995	0.27407718	2.6854274	2.5374076	0.5229974	0.10844892	0.3464838
"Azerbaijan"	2001	0.27024662	2.684274	2.5466454	0.52280486	0.094266824	0.36454937
"Azerbaijan"	2002	0.2707266	2.6902637	2.5477786	0.52276087	0.09534902	0.25277665
"Azerbaijan"	2003	0.27138633	2.698078	2.5490587	0.52271444	0.09680298	0.2683288
"Azerbaijan"	2004	0.27210444	2.7050302	2.5498493	0.5226743	0.09907625	0.26621592
"Azerbaijan"	2005	0.27276427	2.707477	2.5493968	0.5226407	0.101383425	0.26554906
"Bangladesh"	1991	0.28073725	4.738316	3.0439758	0.39056677	0.08422861	0.27570805
"Bangladesh"	1995	0.28087974	4.669866	2.9535468	0.39059758	0.08578044	0.32942984
"Bangladesh"	2000	0.27966917	4.600333	2.9657207	0.39049977	0.08754281	0.33406532
"Bangladesh"	2005	0.27835163	4.5788054	3.3111982	0.390192	0.09078565	0.33201292
"Bangladesh"	2010	0.27757654	4.567146	3.1404343	0.3898037	0.09818385	0.32130313
"Bangladesh"	2016	0.27625337	4.6036625	3.1587863	0.3894343	0.109776355	0.32385272
"Belarus"	1998	0.2699983	4.0586615	3.5253568	0.52121997	0.1002217	0.3201835
"Belarus"	1999	0.2699176	4.0794196	3.5240104	0.52121127	0.099186875	0.31738147
"Belarus"	2000	0.26989874	4.0918536	3.5228252	0.52120125	0.09925466	0.31167483
"Belarus"	2001	0.2699878	4.0966105	3.521141	0.52119553	0.099894375	0.30576724
"Belarus"	2002	0.27018493	4.1028614	3.51859	0.52119213	0.10093053	0.30336243
"Belarus"	2003	0.2704434	4.103709	3.5159032	0.52119684	0.102895	0.28821012
"Belarus"	2004	0.27071837	4.104315	3.513435	0.52120095	0.10501632	0.26479885
"Belarus"	2005	0.27096403	4.0988197	3.5119147	0.5212048	0.106956296	0.2755341
"Belarus"	2006	0.27131802	4.078114	3.5106103	0.52121115	0.109090164	0.28275442
"Belarus"	2007	0.27187908	4.041458	3.508245	0.52120125	0.11159433	0.2961238
"Belarus"	2008	0.27253366	3.99703	3.5057619	0.52119315	0.11437235	0.27826044
