"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Guatemala"	2880520.3809285	45567967.626365	45205651.774365	8848932.06836695	1867967.20509695	0.493976	"1990-1999"	"America"
"Guatemala"	3027213.58545964	48881980.8258787	47504418.3564904	9287292.720696	1976885.69995414	0.54173213	"2000-2009"	"America"
"Guatemala"	4026774.28660616	56816233.757252	64952099.391786	12259866.2526248	2764705.92957372	0.4827621	"2010-2019"	"America"
"Guyana"	191768.13000662	3537761.46012605	3249049.6189379	653139.6222231	113473.86792364	0.42253492	"1990-1999"	"America"
"Honduras"	1489909.06516647	17575361.535657	22371115.61816	4660881.4650154	847522.125624059	0.544404317	"1990-1999"	"America"
"Honduras"	2223191.56873732	26924529.7568579	34162377.255323	6920328.36980769	1350756.22533485	0.528180966428571	"2000-2009"	"America"
"Honduras"	2407450.89661135	29152739.0108027	37314111.2543169	7477848.62163288	1492241.68587472	0.504439257	"2010-2019"	"America"
"Jamaica"	686832.99388871	7369012.7316993	9771490.87091325	2357477.10260884	466872.966261367	0.403152045	"1990-1999"	"America"
"Jamaica"	732894.69532092	7811318.4741588	10381832.2762054	2504327.1247796	502114.64353254	0.468866065	"2000-2009"	"America"
"Jamaica"	776747.90821225	8421107.5612495	11387746.16889	2653543.9858824	543554.38981415	0.3563868	"2010-2019"	"America"
"Mexico"	25318313.7339237	279860602.556366	265498629.992458	82329841.5082532	20730246.981194	0.52746948	"1990-1999"	"America"
"Mexico"	32845833.0537394	403755800.681433	415800403.880802	105871659.754447	27545111.5148154	0.487847498	"2000-2009"	"America"
"Mexico"	33693380.305051	417126641.49054	422245992.939058	108475217.586243	28307597.620088	0.478070006	"2010-2019"	"America"
"Nicaragua"	1274891.50715112	15712534.802285	20075795.0876222	4053998.74240601	686406.342951725	0.557521	"1990-1999"	"America"
"Nicaragua"	1678653.26503368	20302132.1068416	26894784.2949292	5289803.1276168	970003.92688712	0.46156293	"2010-2019"	"America"
"Panama"	775479.95367098	8227262.04899056	9716043.22383992	2358074.91244652	565658.196409594	0.575112114	"1990-1999"	"America"
"Panama"	982767.267781319	10268392.6476227	12329487.3159919	2950925.58041316	834568.604038636	0.535295678333333	"2000-2009"	"America"
"Panama"	1125181.22086972	11535480.6722226	14198180.2595593	3336032.44823283	1048155.79711873	0.506763133	"2010-2019"	"America"
"Paraguay"	1267741.32334618	16244962.704346	28425601.8912571	5046035.32881103	871780.93249224	0.521094285	"1990-1999"	"America"
"Paraguay"	1581439.51561659	20688400.7417363	35520310.9283657	6276542.27234162	1164916.35690071	0.506829408	"2000-2009"	"America"
"Paraguay"	1695847.56445767	22537033.0608792	38311710.2884025	6692508.73795502	1294292.37014149	0.485222409	"2010-2019"	"America"
"Peru"	7045079.74734817	61257967.1459031	140999738.117235	23751613.9897508	6771299.32438046	0.543984953333333	"1990-1999"	"America"
"Peru"	8119432.63094649	66022383.7937774	161719183.823414	27042291.8903014	8297768.948027	0.475503515	"2000-2009"	"America"
"Peru"	8552334.1177911	67258095.831473	170034383.721373	28265840.1795666	8998211.48272022	0.435840487	"2010-2019"	"America"
"Trinidad and Tobago"	353441.704639	5119541.5386464	4818135.5409152	1169041.1750088	271250.97462564	0.40185452	"1990-1999"	"America"
"United States"	117905544.555965	1111553407.42603	1473528622.25096	160090024.294847	116483852.117638	0.395650995	"1990-1999"	"America"
"United States"	141341485.466366	1385414910.61001	1750244960.56734	186708028.953216	138500494.497497	0.408878024	"2000-2009"	"America"
"United States"	141936358.455883	1410501725.09101	1729355930.32304	192126104.304506	138342090.570432	0.410503618	"2010-2019"	"America"
"Azerbaijan"	2106242.016723	20637106.75489	19499596.79486	4019156.56939	833413.682862	0.3464838	"1990-1999"	"Asia"
"Azerbaijan"	2237648.6345853	22232740.398113	21008070.49739	4308829.9747355	802932.25402941	0.28348396	"2000-2009"	"Asia"
"Bangladesh"	31877147.4752693	533853086.190126	340220339.765317	44338206.7919741	9652868.21149472	0.302568945	"1990-1999"	"Asia"
"Bangladesh"	37677319.8228251	619771826.798939	424870419.275554	52716464.8981574	12051393.9775812	0.33303912	"2000-2009"	"Asia"
"Bangladesh"	42665462.1571366	706659110.349797	485368963.540743	60034503.2096484	16055090.3965974	0.322577925	"2010-2019"	"Asia"
"China"	359525949.651887	3633043548.15662	4234422557.50212	217381699.70155	81045106.6240312	0.3500882375	"1990-1999"	"Asia"
"China"	401495843.109342	3681478553.90717	4360056060.51767	241091671.298892	113557674.915698	0.423738121666667	"2000-2009"	"Asia"
"China"	420613987.33948	3757928086.40995	4369254519.4197	250029095.041245	139598535.589074	0.40012298	"2010-2019"	"Asia"
"India"	259869440.509566	4036157065.89126	2714444593.43944	328773117.41276	81112732.2510479	0.31555128	"1990-1999"	"Asia"
"India"	382461107.162745	4955383856.9691	4040035522.44682	473642786.051142	163854028.062091	0.348496691666667	"2010-2019"	"Asia"
"Indonesia"	56459454.0369442	477678887.87568	679821457.30088	65796079.548546	17013115.0098354	0.31736102	"1990-1999"	"Asia"
"Indonesia"	69058130.8069963	571576707.075661	834631099.061862	79488989.0986437	23114020.6696735	0.34415526	"2000-2009"	"Asia"
"Indonesia"	74648121.4676492	610884422.029562	902854116.396415	85076244.5106335	26485670.4748351	0.370527557	"2010-2019"	"Asia"
"Israel"	1653001.1527	25356787.3097	19699501.8087	5751066.177	1698595.684215	0.368021815	"1990-1999"	"Asia"
"Israel"	2352691.10433711	33579687.8482589	27281247.1245567	8162236.77537667	2834579.08980167	0.393908803333333	"2000-2009"	"Asia"
"Israel"	2518960.4796276	35117702.897936	31407771.711565	8737836.348764	3108748.7788043	0.398727858	"2010-2019"	"Asia"
"Jordan"	1093486.62469915	19508459.7464545	20658355.2491	3370749.32810934	724528.429324235	0.397600545	"1990-1999"	"Asia"
"Jordan"	1758869.30675974	28681906.029416	33680378.5773612	5433443.6437352	1288597.93778896	0.3365573	"2010-2019"	"Asia"
"Kazakhstan"	4371029.49203638	55518395.567151	33902749.634739	8111080.28879925	2016756.07230178	0.34022021	"1990-1999"	"Asia"
"Kazakhstan"	4262811.08938607	54082080.3504675	32831372.6900961	7861609.4654045	2058619.68867319	0.317366727272727	"2000-2009"	"Asia"
"Kazakhstan"	4897593.96584047	60062856.3744325	36797306.3099305	8839665.59580939	2708578.20282766	0.275428889	"2010-2019"	"Asia"
"Malaysia"	6053541.20192665	64690011.4924241	89026144.3512435	6784270.4358126	2347518.94152897	0.48442011	"1990-1999"	"Asia"
"Malaysia"	9195496.36395299	104119288.856664	135375882.231818	10016841.5496676	4117031.2207418	0.427903576	"2000-2009"	"Asia"
"Malaysia"	9590009.76227643	109608180.9807	141107299.173611	10420566.2857452	4357965.09677409	0.418838995	"2010-2019"	"Asia"
"Mongolia"	621870.64319922	9607645.637211	4993848.4098984	1183215.15685692	228567.064544706	0.31733651	"1990-1999"	"Asia"
"Mongolia"	699215.981921035	10672012.4676515	5055810.33232945	1318055.45217934	282500.853203415	0.3391988425	"2000-2009"	"Asia"
"Mongolia"	777047.669996715	11600828.0058588	5648494.32458175	1444426.21081926	350998.933619408	0.329734746666667	"2010-2019"	"Asia"
"Nepal"	6099028.56159683	102179233.304764	66037538.919035	8591084.3540482	1859732.4469899	0.35207018	"1990-1999"	"Asia"
"Nepal"	7000461.11838608	130123878.783394	76767439.6550024	9889742.55280984	2235514.53592412	0.43768105	"2000-2009"	"Asia"
"Nepal"	7338197.0978828	141853049.159355	83878368.415009	10443552.7062728	2508313.12992796	0.32840586	"2010-2019"	"Asia"
"Pakistan"	37600689.5132355	529220223.879246	443827908.539175	51540012.1999436	13423180.7789028	0.31678773	"1990-1999"	"Asia"
"Pakistan"	47377213.3857521	668649345.452498	566926378.950474	65253251.1249016	17357287.8430951	0.302667936666667	"2000-2009"	"Asia"
"Pakistan"	57536341.7744316	789356115.657231	707257796.008376	79858446.9900577	23423317.0771558	0.297775854	"2010-2019"	"Asia"
"Papua New Guinea"	1300057.2684325	15186989.671495	18788806.8681345	1261006.75818	363032.00729015	0.45765835	"1990-1999"	"Asia"
"Philippines"	19233855.0903592	203186798.036607	303980319.113655	22857869.5875332	5928270.36983675	0.442247156666667	"1990-1999"	"Asia"
"Philippines"	26721087.8461299	257069835.76633	421271764.600645	31361052.8912555	8725751.67256767	0.413286918571429	"2000-2009"	"Asia"
"Philippines"	29901024.5941285	284716834.899122	469318108.502087	34779509.1872381	10171527.4983144	0.401291776666667	"2010-2019"	"Asia"
"Sri Lanka"	5075795.50801569	59303652.6324368	67575067.7014524	5935339.04158184	1485814.45927277	0.339234855	"1990-1999"	"Asia"
"Sri Lanka"	5555775.68314538	57880724.4215662	73734494.9143033	6412882.4833843	1777688.20847895	0.40171906	"2000-2009"	"Asia"
"Sri Lanka"	6392615.15479872	61099785.6902587	85501556.4496797	7186655.22613674	2442365.10283284	0.385743856666667	"2010-2019"	"Asia"
"Tajikistan"	1617591.00609095	17762262.765715	14676221.7883645	3194661.034579	457573.9910942	0.2953486	"1990-1999"	"Asia"
"Tajikistan"	1835855.26051954	19745237.5929455	16660484.743442	3629237.25165072	531599.439552268	0.323196595	"2000-2009"	"Asia"
"Tajikistan"	2242657.1079236	23771807.1628629	20449578.3283956	4398800.9432413	728916.4945064	0.3399559	"2010-2019"	"Asia"
"Thailand"	17144645.2126845	170255969.35601	194401046.001814	19526267.1279304	6100260.85405746	0.440076866666667	"1990-1999"	"Asia"
"Thailand"	19325375.2419008	191741254.293878	217145659.153895	21714270.4787076	7492517.76073217	0.412555085714286	"2000-2009"	"Asia"
"Thailand"	20894096.5772799	200755075.000853	235166787.74499	23082362.517239	8845372.58313625	0.371526906	"2010-2019"	"Asia"
"Turkmenistan"	1188515.35490785	14157398.380519	10104497.7847514	2245591.69401985	457444.93767112	0.40806928	"1990-1999"	"Asia"
"Uzbekistan"	6355944.30144	78784649.5728	48833208.1224	12298227.51705	2136077.635704	0.44268507	"1990-1999"	"Asia"
"Uzbekistan"	6654394.7361835	81869079.90427	51114967.70467	12867132.9401625	2235135.8611307	0.347696963333333	"2000-2009"	"Asia"
"Albania"	888557.98403592	7609391.6028702	11682303.8493975	1716779.258931	313351.50628419	0.27010342	"1990-1999"	"Europe"
"Albania"	849065.977552463	7396682.85609307	11184484.5028049	1629395.87056196	337481.010539883	0.307731013333333	"2000-2009"	"Europe"
"Albania"	825735.471389131	7036709.99590631	10971963.0149791	1559873.825457	380641.367871063	0.319098748571429	"2010-2019"	"Europe"
"Armenia"	879000.7076124	9057501.868571	10076063.370425	1737503.149455	285886.4720847	0.36219725	"1990-1999"	"Europe"
"Armenia"	844051.934689608	8758919.44580035	9613468.37530537	1650952.88824227	304773.344312514	0.327566856666667	"2000-2009"	"Europe"
"Armenia"	810072.142999197	8480826.72270635	9083197.722154	1562034.95738099	348033.256238578	0.314002015	"2010-2019"	"Europe"
"Austria"	2191452.03284124	27881158.6373028	46111875.6846863	7180399.88448683	3639320.90527156	0.30022806	"1990-1999"	"Europe"
"Austria"	2264866.36386508	26386106.1386675	47919445.519752	7413220.98338237	4253610.255086	0.29879135875	"2000-2009"	"Europe"
"Austria"	2375523.65667705	26785243.5428522	51351290.5209375	7760575.97406611	4812788.4745616	0.304936691	"2010-2019"	"Europe"
"Belarus"	2712902.97222585	40890979.9893946	35420796.1207368	5237878.54981918	1001975.03143042	0.318782485	"1990-1999"	"Europe"
"Belarus"	2634024.5338259	39525279.9219852	34136329.1033571	5064117.89529031	1035834.58050363	0.288337928	"2000-2009"	"Europe"
"Belarus"	2612945.98279285	36820693.7478439	33004221.3773164	4925659.45279868	1215038.0831332	0.26289985	"2010-2019"	"Europe"
"Belgium"	2780062.53348879	33056252.8746435	50397405.8321151	9083121.50191744	3829389.54304547	0.26729732	"1990-1999"	"Europe"
"Belgium"	2884060.83929855	36010400.1651416	52082637.5712912	9472067.71608504	4284251.98267556	0.29421770625	"2000-2009"	"Europe"
"Belgium"	3078647.79127581	40177084.5674329	56919633.5236959	10111900.3990858	4814467.84719449	0.276859976	"2010-2019"	"Europe"
"Bulgaria"	2419521.71979088	25592466.5978176	29323498.570236	3987427.93588708	1135077.72352692	0.3071431	"1990-1999"	"Europe"
"Bulgaria"	2138931.55241833	20709976.5887668	25551363.994169	3510763.37705707	1020099.03474884	0.3479522675	"2000-2009"	"Europe"
"Bulgaria"	2066330.94805903	19330210.4618272	24509737.6300801	3354943.14818412	1072121.73556024	0.381014768	"2010-2019"	"Europe"
"Czechia"	3020826.13221051	33679522.0035402	33079268.9283906	5656771.19540868	1681529.25572747	0.243519276666667	"1990-1999"	"Europe"
"Czechia"	3076958.93442515	30702099.0218831	33134622.4937022	5698743.87100924	1879253.37009085	0.263637518	"2000-2009"	"Europe"
"Czechia"	3127678.51846903	30563522.9621321	33396112.051611	5775294.57141056	1968505.13181458	0.257890358	"2010-2019"	"Europe"
"Denmark"	1122961.24190642	22192313.9839195	25130508.8712495	4940024.6324029	2165062.57575165	0.23823453	"1990-1999"	"Europe"
"Denmark"	1313124.92210302	19560511.0377469	27021490.9832707	5241489.00383449	2549250.35699419	0.271708404545455	"2000-2009"	"Europe"
